average_frametime_ms,23.951
frame,timestamp_ms,frametime_ms
30,31847,22.000
31,31869,22.000
32,31890,21.000
33,31912,22.000
34,31934,22.000
35,31956,22.000
36,31978,22.000
37,32000,22.000
38,32022,22.000
39,32043,21.000
40,32064,21.000
41,32086,22.000
42,32108,22.000
43,32129,21.000
44,32150,21.000
45,32172,22.000
46,32194,22.000
0,32215,21.000
1,32237,22.000
2,32258,21.000
3,32280,22.000
4,32301,21.000
5,32322,21.000
6,32343,21.000
7,32365,22.000
8,32386,21.000
9,32408,22.000
10,32429,21.000
11,32450,21.000
12,32472,22.000
13,32493,21.000
14,32515,22.000
15,32537,22.000
16,32558,21.000
17,32580,22.000
18,32601,21.000
19,32622,21.000
20,32643,21.000
21,32664,21.000
22,32686,22.000
23,32707,21.000
24,32728,21.000
25,32749,21.000
26,32772,23.000
27,32795,23.000
28,32817,22.000
29,32838,21.000
30,32860,22.000
31,32882,22.000
32,32904,22.000
33,32926,22.000
34,32947,21.000
35,32969,22.000
36,32990,21.000
37,33012,22.000
38,33034,22.000
39,33056,22.000
40,33079,23.000
41,33100,21.000
42,33122,22.000
43,33144,22.000
44,33166,22.000
45,33187,21.000
46,33208,21.000
0,33230,22.000
1,33252,22.000
2,33274,22.000
3,33295,21.000
4,33317,22.000
5,33338,21.000
6,33359,21.000
7,33381,22.000
8,33403,22.000
9,33425,22.000
10,33447,22.000
11,33469,22.000
12,33491,22.000
13,33512,21.000
14,33534,22.000
15,33556,22.000
16,33579,23.000
17,33600,21.000
18,33621,21.000
19,33643,22.000
20,33664,21.000
21,33687,23.000
22,33709,22.000
23,33730,21.000
24,33752,22.000
25,33773,21.000
26,33797,24.000
27,33819,22.000
28,33840,21.000
29,33862,22.000
30,33884,22.000
31,33905,21.000
32,33927,22.000
33,33949,22.000
34,33971,22.000
35,33993,22.000
36,34015,22.000
37,34036,21.000
38,34059,23.000
39,34081,22.000
40,34103,22.000
41,34124,21.000
42,34145,21.000
43,34167,22.000
44,34188,21.000
45,34210,22.000
0,34231,21.000
1,34253,22.000
2,34276,23.000
3,34297,21.000
4,34319,22.000
5,34340,21.000
6,34362,22.000
7,34383,21.000
8,34405,22.000
9,34426,21.000
10,34448,22.000
11,34470,22.000
12,34491,21.000
13,34512,21.000
14,34534,22.000
15,34555,21.000
16,34577,22.000
17,34599,22.000
18,34620,21.000
19,34642,22.000
20,34664,22.000
21,34687,23.000
22,34708,21.000
23,34730,22.000
24,34753,23.000
25,34776,23.000
26,34799,23.000
27,34821,22.000
28,34843,22.000
29,34865,22.000
30,34888,23.000
31,34910,22.000
32,34932,22.000
33,34953,21.000
34,34975,22.000
35,34997,22.000
36,35019,22.000
37,35041,22.000
38,35062,21.000
39,35084,22.000
40,35105,21.000
41,35128,23.000
42,35150,22.000
43,35172,22.000
44,35194,22.000
45,35215,21.000
0,35237,22.000
1,35260,23.000
2,35283,23.000
3,35305,22.000
4,35327,22.000
5,35349,22.000
6,35371,22.000
7,35393,22.000
8,35415,22.000
9,35436,21.000
10,35459,23.000
11,35480,21.000
12,35502,22.000
13,35524,22.000
14,35546,22.000
15,35570,24.000
16,35592,22.000
17,35614,22.000
18,35636,22.000
19,35658,22.000
20,35680,22.000
21,35701,21.000
22,35724,23.000
23,35747,23.000
24,35769,22.000
25,35791,22.000
26,35813,22.000
27,35835,22.000
28,35857,22.000
29,35879,22.000
30,35901,22.000
31,35924,23.000
32,35944,20.000
33,35965,21.000
34,35986,21.000
35,36007,21.000
36,36029,22.000
37,36049,20.000
38,36071,22.000
39,36092,21.000
40,36112,20.000
41,36134,22.000
42,36155,21.000
43,36176,21.000
44,36197,21.000
45,36218,21.000
0,36240,22.000
1,36261,21.000
2,36282,21.000
3,36303,21.000
4,36324,21.000
5,36345,21.000
6,36366,21.000
7,36388,22.000
8,36409,21.000
9,36429,20.000
10,36451,22.000
11,36473,22.000
12,36494,21.000
13,36515,21.000
14,36536,21.000
15,36557,21.000
16,36578,21.000
17,36600,22.000
18,36621,21.000
19,36642,21.000
20,36663,21.000
21,36685,22.000
22,36706,21.000
23,36728,22.000
24,36749,21.000
25,36770,21.000
26,36792,22.000
27,36813,21.000
28,36834,21.000
29,36856,22.000
30,36877,21.000
31,36899,22.000
32,36920,21.000
33,36941,21.000
34,36962,21.000
35,36983,21.000
36,37003,20.000
37,37024,21.000
38,37046,22.000
39,37067,21.000
40,37088,21.000
41,37109,21.000
42,37130,21.000
43,37151,21.000
44,37171,20.000
45,37192,21.000
46,37213,21.000
47,37235,22.000
0,37255,20.000
1,37276,21.000
2,37297,21.000
3,37319,22.000
4,37340,21.000
5,37361,21.000
6,37382,21.000
7,37403,21.000
8,37425,22.000
9,37447,22.000
10,37468,21.000
11,37489,21.000
12,37510,21.000
13,37531,21.000
14,37552,21.000
15,37573,21.000
16,37595,22.000
17,37616,21.000
18,37636,20.000
19,37657,21.000
20,37678,21.000
21,37700,22.000
22,37721,21.000
23,37743,22.000
24,37765,22.000
25,37786,21.000
26,37808,22.000
27,37829,21.000
28,37851,22.000
29,37873,22.000
30,37894,21.000
31,37915,21.000
32,37936,21.000
33,37957,21.000
34,37978,21.000
35,38000,22.000
36,38021,21.000
37,38042,21.000
38,38063,21.000
39,38084,21.000
40,38105,21.000
41,38126,21.000
42,38148,22.000
43,38169,21.000
44,38191,22.000
45,38212,21.000
46,38233,21.000
47,38254,21.000
0,38275,21.000
1,38296,21.000
2,38316,20.000
3,38337,21.000
4,38358,21.000
5,38379,21.000
6,38400,21.000
7,38421,21.000
8,38441,20.000
