average_frametime_ms,8.283
frame,timestamp_ms,frametime_ms
115,12163,8.000
116,12172,9.000
117,12180,8.000
118,12189,9.000
119,12197,8.000
120,12210,13.000
0,12214,4.000
1,12227,13.000
2,12230,3.000
3,12239,9.000
4,12247,8.000
5,12255,8.000
6,12264,9.000
7,12278,14.000
8,12281,3.000
9,12289,8.000
10,12297,8.000
11,12305,8.000
12,12314,9.000
13,12322,8.000
14,12330,8.000
15,12339,9.000
16,12347,8.000
17,12355,8.000
18,12364,9.000
19,12372,8.000
20,12380,8.000
21,12389,9.000
22,12397,8.000
23,12405,8.000
24,12414,9.000
25,12422,8.000
26,12435,13.000
27,12438,3.000
28,12447,9.000
29,12455,8.000
30,12464,9.000
31,12472,8.000
32,12480,8.000
33,12489,9.000
34,12497,8.000
35,12505,8.000
36,12514,9.000
37,12522,8.000
38,12530,8.000
39,12539,9.000
40,12547,8.000
41,12555,8.000
42,12564,9.000
43,12572,8.000
44,12580,8.000
45,12588,8.000
46,12597,9.000
47,12605,8.000
48,12614,9.000
49,12622,8.000
50,12630,8.000
51,12639,9.000
52,12647,8.000
53,12655,8.000
54,12664,9.000
55,12672,8.000
56,12680,8.000
57,12689,9.000
58,12697,8.000
59,12705,8.000
60,12714,9.000
61,12722,8.000
62,12730,8.000
63,12744,14.000
64,12747,3.000
65,12755,8.000
66,12764,9.000
67,12772,8.000
68,12780,8.000
69,12789,9.000
70,12797,8.000
71,12805,8.000
72,12814,9.000
73,12822,8.000
74,12830,8.000
75,12839,9.000
76,12847,8.000
77,12855,8.000
78,12864,9.000
79,12872,8.000
80,12880,8.000
81,12889,9.000
82,12902,13.000
83,12906,4.000
84,12913,7.000
85,12922,9.000
86,12930,8.000
87,12939,9.000
88,12947,8.000
89,12955,8.000
90,12964,9.000
91,12972,8.000
92,12980,8.000
93,12989,9.000
94,12997,8.000
95,13005,8.000
96,13014,9.000
97,13022,8.000
98,13030,8.000
99,13039,9.000
100,13047,8.000
101,13055,8.000
102,13064,9.000
103,13072,8.000
104,13080,8.000
105,13089,9.000
106,13097,8.000
107,13105,8.000
108,13114,9.000
109,13122,8.000
110,13130,8.000
111,13139,9.000
112,13147,8.000
113,13155,8.000
114,13164,9.000
115,13177,13.000
116,13180,3.000
117,13189,9.000
118,13191,2.000
119,13197,6.000
120,13210,13.000
0,13213,3.000
1,13222,9.000
2,13230,8.000
3,13239,9.000
4,13247,8.000
5,13255,8.000
6,13264,9.000
7,13272,8.000
8,13280,8.000
9,13289,9.000
10,13297,8.000
11,13305,8.000
12,13314,9.000
13,13322,8.000
14,13330,8.000
15,13339,9.000
16,13347,8.000
17,13355,8.000
18,13368,13.000
19,13372,4.000
20,13380,8.000
21,13389,9.000
22,13397,8.000
23,13405,8.000
24,13414,9.000
25,13422,8.000
26,13431,9.000
27,13444,13.000
28,13447,3.000
29,13456,9.000
30,13464,8.000
31,13472,8.000
32,13480,8.000
33,13489,9.000
34,13497,8.000
35,13505,8.000
36,13514,9.000
37,13522,8.000
38,13530,8.000
39,13538,8.000
40,13547,9.000
41,13555,8.000
42,13564,9.000
43,13572,8.000
44,13580,8.000
45,13589,9.000
46,13597,8.000
47,13610,13.000
48,13613,3.000
49,13622,9.000
50,13630,8.000
51,13639,9.000
52,13647,8.000
53,13655,8.000
54,13664,9.000
55,13676,12.000
56,13680,4.000
57,13688,8.000
58,13697,9.000
59,13705,8.000
60,13714,9.000
61,13722,8.000
62,13730,8.000
63,13739,9.000
64,13747,8.000
65,13755,8.000
66,13764,9.000
67,13772,8.000
68,13780,8.000
69,13789,9.000
70,13797,8.000
71,13805,8.000
72,13814,9.000
73,13822,8.000
74,13835,13.000
75,13839,4.000
76,13847,8.000
77,13855,8.000
78,13864,9.000
79,13872,8.000
80,13880,8.000
81,13889,9.000
82,13897,8.000
83,13905,8.000
